feature,family,PC1,PC2,PC3,PC4,PC5,PC6,communality_top1,communality_top2,communality_top3,communality_top4,communality_top5,communality_top6
PB16_T7,PB16,-0.011202,0.08643,-0.01268,-0.007691,0.001222,0.011188,0.023022,0.671526,0.681913,0.68478,0.684838,0.688085
PB16_T8,PB16,-0.013737,0.086279,-0.009661,0.001217,-0.035773,0.013874,0.03462,0.680863,0.686893,0.686965,0.736221,0.741215
PB16_T9,PB16,-0.015758,0.084572,-0.007505,0.006582,-0.054009,0.014229,0.045556,0.666484,0.670123,0.672223,0.784498,0.789751
PB16_T10,PB16,-0.019149,0.079519,-0.003568,0.014078,-0.070416,0.012453,0.067273,0.616213,0.617035,0.626643,0.81749,0.821513
PB16_T11,PB16,-0.020572,0.076992,-0.002108,0.016527,-0.073593,0.011825,0.077639,0.592253,0.59254,0.605781,0.814238,0.817866
PB16_T12,PB16,-0.027351,0.062606,0.002706,0.022898,-0.07117,0.00935,0.13724,0.477502,0.477975,0.503393,0.698349,0.700618
PB17_T1,PB17,-0.001771,0.029744,-0.007134,-0.014389,0.065339,-0.013514,0.000576,0.077377,0.080666,0.090702,0.255025,0.259763
PB17_T2,PB17,-0.002635,0.042514,-0.010105,-0.01918,0.083552,-0.015967,0.001274,0.158181,0.164777,0.18261,0.451307,0.457921
PB17_T3,PB17,-0.004636,0.063058,-0.014205,-0.02321,0.090995,-0.012196,0.003943,0.34914,0.362176,0.38829,0.706992,0.710851
PB17_T4,PB17,-0.006407,0.075013,-0.01561,-0.022405,0.081195,-0.006155,0.007532,0.496023,0.511764,0.536098,0.789849,0.790832
PB17_T5,PB17,-0.007538,0.080719,-0.015842,-0.020575,0.068736,-0.001458,0.010423,0.576053,0.592267,0.612788,0.794641,0.794696
PB17_T6,PB17,-0.008347,0.083677,-0.015557,-0.018364,0.056286,0.001902,0.012783,0.620642,0.636277,0.652625,0.774565,0.774659
PB17_T7,PB17,-0.011191,0.087813,-0.013064,-0.008811,0.006472,0.010025,0.022975,0.692399,0.703425,0.707189,0.708801,0.711408
PB17_T8,PB17,-0.013739,0.087496,-0.009971,0.000327,-0.031774,0.013048,0.034628,0.699229,0.705652,0.705657,0.744516,0.748933
PB17_T9,PB17,-0.015763,0.085661,-0.007774,0.005829,-0.050676,0.013552,0.045584,0.682602,0.686507,0.688154,0.786997,0.791762
PB17_T10,PB17,-0.019157,0.080453,-0.003799,0.013473,-0.067787,0.011932,0.067326,0.629235,0.630167,0.638966,0.815829,0.819523
PB17_T11,PB17,-0.02058,0.077869,-0.002321,0.015968,-0.071193,0.011355,0.077696,0.604099,0.604448,0.616808,0.81189,0.815236
PB17_T12,PB17,-0.027359,0.063275,0.002549,0.022496,-0.069491,0.009019,0.137316,0.484895,0.485315,0.509848,0.695718,0.697829
PB18_T1,PB18,-0.00178,0.029911,-0.007153,-0.014353,0.065753,-0.013696,0.000581,0.078252,0.081557,0.091543,0.257954,0.262821
PB18_T2,PB18,-0.00245,0.041679,-0.009766,-0.018913,0.083355,-0.016432,0.001102,0.151907,0.158068,0.175407,0.442837,0.449842
PB18_T3,PB18,-0.003952,0.061199,-0.013676,-0.023434,0.094085,-0.014221,0.002865,0.328012,0.340096,0.366717,0.707427,0.712674
PB18_T4,PB18,-0.005364,0.073049,-0.01537,-0.023339,0.087218,-0.009202,0.005279,0.468527,0.483789,0.510195,0.802987,0.805184
PB18_T5,PB18,-0.00627,0.079026,-0.01576,-0.021786,0.076664,-0.004718,0.007212,0.549371,0.565416,0.588426,0.814643,0.815221
PB18_T6,PB18,-0.006994,0.08235,-0.015667,-0.01989,0.065643,-0.001375,0.008974,0.597702,0.613558,0.632736,0.798589,0.798638
PB18_T7,PB18,-0.009595,0.088148,-0.014164,-0.011535,0.017037,0.008459,0.01689,0.69143,0.70439,0.71084,0.722013,0.723869
PB18_T8,PB18,-0.012002,0.088958,-0.011343,-0.002255,-0.023446,0.013661,0.026428,0.713421,0.721734,0.72198,0.743139,0.747981
PB18_T9,PB18,-0.013755,0.087763,-0.009296,0.003486,-0.044359,0.014834,0.034711,0.703371,0.708953,0.709542,0.785281,0.79099
PB18_T10,PB18,-0.01675,0.083163,-0.005665,0.011216,-0.064648,0.015019,0.051468,0.651876,0.653949,0.660048,0.82091,0.826762
PB18_T11,PB18,-0.018192,0.080853,-0.004215,0.013668,-0.069581,0.014118,0.060711,0.628223,0.629371,0.638427,0.824777,0.829948
PB18_T12,PB18,-0.024796,0.068021,6.3e-05,0.020132,-0.075244,0.01125,0.112792,0.514461,0.514461,0.534109,0.752025,0.755309
VB1_T1,VB1,0.000436,-0.000657,0.000383,-0.00979,-0.000603,0.007774,3.5e-05,7.2e-05,8.2e-05,0.004728,0.004742,0.00631
VB1_T2,VB1,0.000513,-0.000956,-0.000686,-0.012601,-0.001532,0.004827,4.8e-05,0.000128,0.000158,0.007856,0.007946,0.008551
VB1_T3,VB1,0.000597,-0.001247,0.000241,-0.012624,-0.003279,-0.00782,6.5e-05,0.000201,0.000204,0.00793,0.008343,0.00993
VB1_T4,VB1,0.000801,-0.001219,0.001762,-0.00909,-0.003747,-0.021244,0.000118,0.000247,0.000447,0.004453,0.004994,0.016702
VB1_T5,VB1,0.000798,-0.001459,0.002447,-0.006447,-0.003573,-0.029133,0.000117,0.000302,0.000689,0.002704,0.003195,0.025215
VB1_T6,VB1,0.000726,-0.001489,0.002439,-0.005023,-0.002802,-0.033307,9.7e-05,0.000289,0.000673,0.001896,0.002198,0.030982
VB1_T7,VB1,1e-06,-0.001644,0.002364,-0.0013,-1.5e-05,-0.039693,0.0,0.000235,0.000596,0.000678,0.000678,0.041556
VB1_T8,VB1,-0.001312,-0.002651,0.003305,0.003496,0.004599,-0.040372,0.000316,0.000926,0.001632,0.002225,0.003039,0.045327
VB1_T9,VB1,-0.002262,-0.002385,0.003571,0.006782,0.006554,-0.036295,0.000938,0.001432,0.002256,0.004486,0.006139,0.040318
VB1_T10,VB1,-0.002767,-0.002375,0.002641,0.008284,0.007056,-0.025682,0.001405,0.001895,0.002345,0.005672,0.007588,0.024701
VB1_T11,VB1,-0.00287,-0.003068,0.002378,0.008317,0.006967,-0.022282,0.001512,0.002328,0.002694,0.006047,0.007916,0.020797
VB1_T12,VB1,-0.004542,-0.000909,0.001487,0.008165,0.004969,-0.007658,0.003785,0.003857,0.004,0.007231,0.008181,0.009703
VB2_T1,VB2,-0.000524,-0.01844,-0.055086,-0.087801,-0.024792,0.011472,5e-05,0.029571,0.225603,0.599315,0.622973,0.626387
VB2_T2,VB2,-0.000538,-0.019669,-0.056238,-0.100715,-0.026572,0.01291,5.3e-05,0.033637,0.237958,0.729678,0.756854,0.761178
VB2_T3,VB2,-0.000594,-0.019956,-0.056584,-0.112763,-0.027103,0.00923,6.5e-05,0.034638,0.241479,0.85788,0.886154,0.888364
VB2_T4,VB2,-0.000645,-0.019334,-0.05626,-0.116776,-0.026826,0.004156,7.6e-05,0.032527,0.237004,0.898066,0.925764,0.926212
VB2_T5,VB2,-0.000672,-0.018801,-0.05588,-0.118011,-0.026852,0.000146,8.3e-05,0.030768,0.232493,0.907614,0.935367,0.935368
VB2_T6,VB2,-0.000703,-0.018269,-0.055558,-0.118444,-0.026854,-0.003274,9.1e-05,0.029066,0.228475,0.908553,0.93631,0.936588
VB2_T7,VB2,-0.000812,-0.017126,-0.054821,-0.118222,-0.028452,-0.013192,0.000121,0.025583,0.219738,0.897272,0.92843,0.932945
VB2_T8,VB2,-0.000858,-0.016186,-0.05402,-0.117291,-0.029883,-0.021242,0.000135,0.022878,0.2114,0.878307,0.912677,0.924385
VB2_T9,VB2,-0.000977,-0.015187,-0.053385,-0.116181,-0.031021,-0.026438,0.000175,0.020198,0.204314,0.858656,0.895696,0.91383
VB2_T10,VB2,-0.001424,-0.013342,-0.052711,-0.114058,-0.033391,-0.031059,0.000372,0.015826,0.19532,0.825963,0.868879,0.893907
VB2_T11,VB2,-0.00164,-0.012743,-0.052374,-0.112998,-0.034408,-0.032427,0.000494,0.01459,0.191797,0.810772,0.856339,0.883621
VB2_T12,VB2,-0.003486,-0.010452,-0.051088,-0.108222,-0.037757,-0.034865,0.00223,0.011714,0.18033,0.748092,0.802962,0.834501
VB3_T1,VB3,4.4e-05,-0.017602,-0.051995,-0.083026,-0.02424,0.009606,0.0,0.026898,0.201552,0.535719,0.558334,0.560728
VB3_T2,VB3,-6e-06,-0.019221,-0.054214,-0.096041,-0.026438,0.011366,0.0,0.032073,0.221952,0.669091,0.695995,0.699346
VB3_T3,VB3,-0.000122,-0.01994,-0.055478,-0.108854,-0.02726,0.009225,3e-06,0.034519,0.233354,0.807761,0.836363,0.838571
VB3_T4,VB3,-0.000253,-0.019458,-0.055395,-0.113658,-0.026762,0.005422,1.2e-05,0.032882,0.231122,0.857356,0.884922,0.885685
VB3_T5,VB3,-0.000356,-0.018928,-0.055195,-0.115486,-0.026578,0.002074,2.3e-05,0.031125,0.227936,0.874475,0.901664,0.901776
VB3_T6,VB3,-0.00046,-0.018341,-0.055002,-0.116335,-0.026423,-0.001051,3.9e-05,0.029243,0.224679,0.88075,0.907623,0.907651
VB3_T7,VB3,-0.000775,-0.017206,-0.054793,-0.117466,-0.028105,-0.010242,0.00011,0.025811,0.21977,0.888668,0.919071,0.921793
VB3_T8,VB3,-0.000933,-0.016333,-0.054081,-0.117185,-0.029849,-0.018208,0.00016,0.023318,0.212266,0.877967,0.912259,0.920861
VB3_T9,VB3,-0.001129,-0.015279,-0.053481,-0.116443,-0.031121,-0.023816,0.000234,0.0205,0.205281,0.862578,0.899855,0.914572
VB3_T10,VB3,-0.001576,-0.013476,-0.052888,-0.11489,-0.033443,-0.029009,0.000456,0.016222,0.196929,0.836808,0.879857,0.901691
VB3_T11,VB3,-0.001776,-0.012827,-0.052596,-0.114002,-0.034485,-0.030534,0.000578,0.014863,0.193575,0.823601,0.869374,0.893565
VB3_T12,VB3,-0.003393,-0.01048,-0.051641,-0.110026,-0.038188,-0.033523,0.002112,0.011647,0.18393,0.770774,0.826906,0.856064
VB4_T1,VB4,4.4e-05,-0.017605,-0.051995,-0.083025,-0.024245,0.009608,0.0,0.026907,0.20156,0.535721,0.558347,0.560742
VB4_T2,VB4,-5e-06,-0.019224,-0.054214,-0.09604,-0.026443,0.011367,0.0,0.032084,0.221961,0.669094,0.696008,0.69936
VB4_T3,VB4,-0.000121,-0.019943,-0.055477,-0.108853,-0.027264,0.009225,3e-06,0.034532,0.233363,0.807766,0.836376,0.838584
VB4_T4,VB4,-0.000253,-0.019462,-0.055395,-0.113658,-0.026764,0.005422,1.2e-05,0.032893,0.231131,0.857363,0.884933,0.885696
VB4_T5,VB4,-0.000356,-0.018931,-0.055195,-0.115486,-0.026579,0.002074,2.3e-05,0.031135,0.227944,0.874483,0.901675,0.901786
VB4_T6,VB4,-0.00046,-0.018344,-0.055001,-0.116335,-0.026423,-0.001051,3.9e-05,0.029252,0.224686,0.880759,0.907633,0.907661
VB4_T7,VB4,-0.000774,-0.017208,-0.054793,-0.117467,-0.028104,-0.010243,0.00011,0.025817,0.219775,0.888679,0.919079,0.921801
VB4_T8,VB4,-0.000932,-0.016334,-0.054081,-0.117186,-0.029847,-0.018208,0.00016,0.023322,0.21227,0.877977,0.912265,0.920867
VB4_T9,VB4,-0.001129,-0.01528,-0.053481,-0.116444,-0.031119,-0.023817,0.000234,0.020504,0.205284,0.862587,0.89986,0.914578
VB4_T10,VB4,-0.001576,-0.013477,-0.052888,-0.114891,-0.033442,-0.029009,0.000456,0.016225,0.196931,0.836817,0.879863,0.901697
VB4_T11,VB4,-0.001775,-0.012828,-0.052596,-0.114003,-0.034484,-0.030535,0.000578,0.014865,0.193578,0.82361,0.86938,0.89357
VB4_T12,VB4,-0.003393,-0.010481,-0.051641,-0.110026,-0.038187,-0.033524,0.002112,0.011648,0.183931,0.770779,0.826907,0.856066
VB5_T1,VB5,6.1e-05,-0.017011,-0.053142,-0.075717,-0.022231,0.007854,1e-06,0.025124,0.207565,0.485487,0.504509,0.50611
VB5_T2,VB5,0.000199,-0.017977,-0.053418,-0.086899,-0.023441,0.012129,7e-06,0.028064,0.21241,0.578479,0.599628,0.603445
VB5_T3,VB5,0.000342,-0.018072,-0.053335,-0.097891,-0.023242,0.015674,2.1e-05,0.028374,0.212147,0.676681,0.697472,0.703846
VB5_T4,VB5,0.000212,-0.017062,-0.053385,-0.103093,-0.022469,0.01734,8e-06,0.02528,0.209399,0.724617,0.74405,0.751852
VB5_T5,VB5,0.000118,-0.016068,-0.053048,-0.105235,-0.022597,0.017321,3e-06,0.022415,0.204212,0.741067,0.760722,0.768506
VB5_T6,VB5,0.000111,-0.015325,-0.052582,-0.106104,-0.022966,0.016074,2e-06,0.020391,0.199008,0.744759,0.76506,0.771764
VB5_T7,VB5,0.00086,-0.014031,-0.051478,-0.107334,-0.026305,0.010755,0.000136,0.017227,0.188424,0.746902,0.773536,0.776537
VB5_T8,VB5,0.00189,-0.012091,-0.050756,-0.108233,-0.030208,0.004025,0.000655,0.013346,0.179778,0.747648,0.782771,0.783191
VB5_T9,VB5,0.002361,-0.011087,-0.050055,-0.108674,-0.03247,-0.003571,0.001023,0.011693,0.173557,0.746066,0.786647,0.786977
VB5_T10,VB5,0.002415,-0.00975,-0.049075,-0.107996,-0.035271,-0.013787,0.00107,0.009322,0.164907,0.730295,0.778178,0.78311
VB5_T11,VB5,0.002397,-0.009111,-0.04865,-0.10729,-0.0359,-0.017258,0.001054,0.008261,0.161161,0.719189,0.768794,0.776522
VB5_T12,VB5,0.002489,-0.008854,-0.046658,-0.101967,-0.03586,-0.028636,0.001136,0.007941,0.14858,0.652603,0.7021,0.723376
VB6_T1,VB6,-9.2e-05,6.8e-05,-0.001754,0.004158,0.000134,-0.002709,2e-06,2e-06,0.000201,0.001039,0.00104,0.00123
VB6_T2,VB6,-0.000107,-0.000278,-0.00437,0.004424,-0.000106,-0.002975,2e-06,9e-06,0.001243,0.002191,0.002192,0.002422
VB6_T3,VB6,-0.000526,-0.003698,-0.026187,0.01633,-0.00225,-0.009119,5.1e-05,0.001238,0.04554,0.058467,0.058661,0.060819
VB6_T4,VB6,-0.000501,-0.00462,-0.028049,0.01595,-0.003097,-0.005986,4.6e-05,0.001899,0.052725,0.065057,0.065427,0.066356
VB6_T5,VB6,-0.000497,-0.00517,-0.028804,0.0156,-0.003463,-0.003628,4.5e-05,0.002366,0.055966,0.067763,0.068225,0.068566
VB6_T6,VB6,-0.000485,-0.005614,-0.02926,0.015193,-0.003677,-0.001694,4.3e-05,0.002779,0.05809,0.069279,0.0698,0.069874
VB6_T7,VB6,-0.000353,-0.0068,-0.030198,0.013627,-0.003336,0.003875,2.3e-05,0.004037,0.062951,0.071952,0.07238,0.07277
VB6_T8,VB6,-0.000272,-0.007668,-0.030835,0.012052,-0.002672,0.008473,1.4e-05,0.005118,0.06654,0.073582,0.073856,0.075719
VB6_T9,VB6,-0.000201,-0.008377,-0.031303,0.010813,-0.002083,0.011447,7e-06,0.006099,0.069401,0.075069,0.075236,0.078636
VB6_T10,VB6,1.8e-05,-0.009512,-0.031818,0.008777,-0.000789,0.014291,0.0,0.007855,0.073259,0.076994,0.077018,0.082316
VB6_T11,VB6,0.000117,-0.009878,-0.03205,0.00792,-0.000309,0.015178,3e-06,0.008472,0.074831,0.077872,0.077876,0.083852
VB6_T12,VB6,0.00087,-0.011283,-0.032868,0.00378,0.001318,0.017562,0.000139,0.011191,0.080983,0.081676,0.081742,0.089744
V1_T1,V1,-0.001456,-0.004893,-0.066851,0.048595,0.006259,-0.004995,0.000389,0.002467,0.291178,0.405656,0.407164,0.407811
V1_T2,V1,-0.001464,-0.005405,-0.071322,0.051066,0.00661,-0.005525,0.000393,0.002929,0.331556,0.45797,0.459652,0.460444
V1_T3,V1,-0.00151,-0.006081,-0.077941,0.055178,0.007126,-0.006857,0.000418,0.003629,0.396078,0.543669,0.545624,0.546844
V1_T4,V1,-0.00156,-0.006469,-0.081955,0.057699,0.007115,-0.006884,0.000447,0.004079,0.437991,0.599379,0.601328,0.602557
V1_T5,V1,-0.001526,-0.006583,-0.08354,0.058555,0.007268,-0.005532,0.000427,0.004189,0.455054,0.621264,0.623297,0.624091
V1_T6,V1,-0.001574,-0.006615,-0.084649,0.059118,0.007174,-0.004885,0.000454,0.004253,0.467163,0.636586,0.638567,0.639186
V1_T7,V1,-0.00142,-0.006854,-0.086166,0.059131,0.007508,0.002318,0.00037,0.004448,0.484097,0.653594,0.655763,0.655903
V1_T8,V1,-0.001305,-0.007042,-0.086837,0.058611,0.007873,0.008423,0.000313,0.004618,0.491771,0.658303,0.660688,0.662529
V1_T9,V1,-0.001274,-0.007262,-0.087641,0.058274,0.007911,0.011601,0.000298,0.004876,0.501088,0.66571,0.668119,0.671611
V1_T10,V1,-0.001247,-0.007581,-0.088455,0.057691,0.00811,0.014578,0.000285,0.005275,0.510742,0.672083,0.674615,0.680128
V1_T11,V1,-0.001254,-0.007677,-0.08871,0.057441,0.008157,0.015304,0.000289,0.005405,0.5138,0.673747,0.676308,0.682386
V1_T12,V1,-0.001156,-0.007842,-0.088144,0.055324,0.008324,0.018929,0.000245,0.005584,0.507502,0.655878,0.658545,0.667842
V2_T1,V2,0.00299,-0.004075,0.006124,-0.041803,-0.004468,-0.010171,0.00164,0.003081,0.005504,0.090219,0.090987,0.093671
V2_T2,V2,0.003332,-0.003665,0.009816,-0.042942,-0.005149,-0.036036,0.002037,0.003203,0.009428,0.098819,0.09984,0.133532
V2_T3,V2,0.003788,-0.002486,0.008702,-0.034302,-0.006227,-0.0741,0.002632,0.003169,0.008061,0.0651,0.066593,0.209054
V2_T4,V2,0.004298,-0.001828,0.005122,-0.028137,-0.007834,-0.086546,0.003389,0.003679,0.005374,0.043753,0.046116,0.240453
V2_T5,V2,0.004606,-0.001301,0.002489,-0.025722,-0.008652,-0.085202,0.003892,0.004039,0.004439,0.036512,0.039393,0.227739
V2_T6,V2,0.004851,-0.000916,0.00039,-0.024718,-0.009215,-0.078996,0.004317,0.004389,0.004399,0.034016,0.037285,0.199195
V2_T7,V2,0.006171,-0.00159,-0.005841,-0.024928,-0.011573,-0.052624,0.006987,0.007206,0.009411,0.039534,0.04469,0.116539
V2_T8,V2,0.007386,-0.002704,-0.010446,-0.028056,-0.012397,-0.035015,0.010008,0.010642,0.017691,0.05585,0.061766,0.093577
V2_T9,V2,0.008259,-0.002779,-0.01294,-0.030609,-0.012719,-0.027043,0.012515,0.013185,0.024002,0.06942,0.075647,0.094622
V2_T10,V2,0.009117,-0.002628,-0.015528,-0.034012,-0.014442,-0.021734,0.015248,0.015847,0.031425,0.087502,0.095531,0.107787
V2_T11,V2,0.009497,-0.00298,-0.016234,-0.035011,-0.014486,-0.020465,0.016546,0.017317,0.034343,0.093765,0.101842,0.112709
V2_T12,V2,0.010271,-0.001633,-0.018286,-0.037327,-0.016849,-0.021134,0.019355,0.019586,0.041187,0.108731,0.119658,0.131246
V3_T1,V3,-0.00073,-0.003917,-0.040917,0.0236,0.001959,-0.03032,9.8e-05,0.00143,0.10959,0.136591,0.136739,0.16059
V3_T2,V3,-0.000861,-0.004681,-0.049913,0.030161,0.002382,-0.032384,0.000136,0.002038,0.162981,0.207079,0.207297,0.234507
V3_T3,V3,-0.000998,-0.005773,-0.062553,0.03924,0.003126,-0.029249,0.000183,0.003076,0.255858,0.3305,0.330876,0.353073
V3_T4,V3,-0.001086,-0.006532,-0.070172,0.044161,0.003803,-0.023728,0.000216,0.00392,0.322029,0.416566,0.417123,0.43173
V3_T5,V3,-0.001065,-0.006825,-0.074259,0.046682,0.004484,-0.01873,0.000208,0.004252,0.3605,0.46614,0.466914,0.476016
V3_T6,V3,-0.001099,-0.007085,-0.076947,0.048218,0.004953,-0.014546,0.000222,0.004579,0.387085,0.49979,0.500735,0.506224
V3_T7,V3,-0.001111,-0.007874,-0.084315,0.052118,0.006243,-0.00116,0.000226,0.005609,0.464868,0.596544,0.598044,0.598079
V3_T8,V3,-0.001134,-0.008268,-0.088795,0.054137,0.00717,0.008045,0.000236,0.006171,0.515535,0.657609,0.659588,0.661267
V3_T9,V3,-0.001098,-0.008634,-0.090799,0.054589,0.007449,0.012818,0.000221,0.006692,0.539311,0.683768,0.685903,0.690166
V3_T10,V3,-0.001058,-0.008925,-0.092125,0.054193,0.008094,0.017406,0.000206,0.007121,0.555408,0.697781,0.700303,0.708164
V3_T11,V3,-0.001004,-0.009062,-0.092407,0.053938,0.008307,0.018858,0.000185,0.007314,0.55896,0.699997,0.702652,0.711879
V3_T12,V3,-0.00091,-0.009208,-0.091476,0.051887,0.008706,0.022931,0.000152,0.007513,0.548098,0.678611,0.681528,0.695171
V4_T1,V4,-0.000889,-0.004626,-0.049689,0.029249,0.002347,-0.034716,0.000145,0.002003,0.161505,0.202976,0.203189,0.234458
V4_T2,V4,-0.001064,-0.005636,-0.062381,0.038907,0.003235,-0.036967,0.000208,0.002965,0.254364,0.327744,0.328147,0.363603
V4_T3,V4,-0.001311,-0.007043,-0.080807,0.052727,0.004956,-0.031489,0.000315,0.004622,0.426461,0.561232,0.562178,0.587904
V4_T4,V4,-0.001377,-0.007799,-0.089537,0.059085,0.005994,-0.023362,0.000348,0.005628,0.523545,0.692777,0.69416,0.70832
V4_T5,V4,-0.001349,-0.008012,-0.092805,0.061373,0.006633,-0.017072,0.000334,0.005907,0.562322,0.744916,0.746609,0.754171
V4_T6,V4,-0.001401,-0.008071,-0.094324,0.062378,0.00699,-0.012415,0.00036,0.006015,0.58079,0.769414,0.771295,0.775294
V4_T7,V4,-0.00138,-0.0081,-0.095654,0.063038,0.007726,0.000748,0.00035,0.006045,0.597138,0.789772,0.792069,0.792084
V4_T8,V4,-0.001344,-0.007983,-0.094729,0.062096,0.008118,0.008295,0.000331,0.005864,0.585587,0.772508,0.775045,0.77683
V4_T9,V4,-0.001311,-0.008029,-0.093885,0.060987,0.008131,0.011917,0.000315,0.005912,0.575342,0.755647,0.758192,0.761877
V4_T10,V4,-0.00126,-0.008142,-0.092757,0.05941,0.008316,0.015438,0.000291,0.006047,0.561887,0.732985,0.735647,0.74183
V4_T11,V4,-0.001254,-0.008166,-0.092353,0.058822,0.008373,0.016301,0.000289,0.006078,0.557082,0.724813,0.727512,0.734406
V4_T12,V4,-0.001158,-0.008147,-0.090419,0.056146,0.008483,0.019715,0.000246,0.006008,0.534176,0.68699,0.68976,0.699844
V5,V5,-4.6e-05,-0.008684,-0.090993,0.044914,0.007336,0.02038,0.0,0.006548,0.54144,0.639232,0.641303,0.65208
V8_T1_T2,V8,-0.000386,-0.002129,-0.024068,0.01788,0.001028,-0.003964,2.7e-05,0.000421,0.037842,0.053339,0.05338,0.053787
V8_T1_T3,V8,-0.000535,-0.003731,-0.04069,0.028685,0.00223,0.012941,5.3e-05,0.001261,0.108224,0.148113,0.148305,0.15265
V8_T1_T4,V8,-0.000557,-0.004641,-0.048012,0.032741,0.00297,0.029506,5.7e-05,0.001926,0.150845,0.202811,0.203151,0.22574
V8_T1_T5,V8,-0.000492,-0.004902,-0.051104,0.03398,0.003688,0.041009,4.4e-05,0.00213,0.170851,0.226824,0.227348,0.270981
V8_T1_T6,V8,-0.000557,-0.005044,-0.052767,0.034329,0.004166,0.049651,5.7e-05,0.002265,0.182142,0.239271,0.23994,0.303902
V8_T1_T7,V8,-0.000559,-0.005434,-0.055516,0.033853,0.005124,0.071553,5.7e-05,0.00262,0.201727,0.257282,0.258292,0.391127
V8_T1_T8,V8,-0.000582,-0.005543,-0.056004,0.032543,0.005709,0.082582,6.2e-05,0.00273,0.205356,0.256697,0.257951,0.434894
V8_T1_T9,V8,-0.00056,-0.005838,-0.056163,0.03118,0.005773,0.087558,5.7e-05,0.003016,0.206793,0.253921,0.255204,0.454114
V8_T1_T10,V8,-0.000504,-0.006268,-0.056027,0.029098,0.006222,0.091834,4.7e-05,0.003457,0.206246,0.247291,0.248781,0.467592
V8_T1_T11,V8,-0.0005,-0.006381,-0.055915,0.028296,0.006414,0.092785,4.6e-05,0.003581,0.205561,0.244376,0.245959,0.469325
V8_T1_T12,V8,-0.000401,-0.006552,-0.055213,0.0251,0.006707,0.095372,2.9e-05,0.003756,0.200694,0.231235,0.232966,0.468959
V8_T2_T3,V8,-0.000347,-0.002711,-0.028503,0.019967,0.001687,0.021888,2.2e-05,0.00066,0.053146,0.072472,0.072582,0.085012
V8_T2_T4,V8,-0.000364,-0.003732,-0.036016,0.023765,0.002357,0.042229,2.4e-05,0.001233,0.085031,0.112408,0.112622,0.15889
V8_T2_T5,V8,-0.000281,-0.004014,-0.039272,0.024758,0.003147,0.056508,1.5e-05,0.001413,0.10105,0.130764,0.131145,0.213994
V8_T2_T6,V8,-0.000343,-0.004189,-0.04107,0.024881,0.003702,0.067421,2.2e-05,0.001545,0.110515,0.140525,0.141053,0.258991
V8_T2_T7,V8,-0.000344,-0.004749,-0.044514,0.023949,0.004775,0.09489,2.2e-05,0.00198,0.129989,0.157794,0.158672,0.392288
V8_T2_T8,V8,-0.000399,-0.004951,-0.045621,0.022416,0.005506,0.108598,2.9e-05,0.002157,0.136616,0.160975,0.162142,0.468129
V8_T2_T9,V8,-0.000374,-0.005368,-0.046124,0.020793,0.005614,0.114571,2.6e-05,0.002527,0.139965,0.160923,0.162136,0.502708
V8_T2_T10,V8,-0.000311,-0.005968,-0.046414,0.018361,0.006244,0.119335,1.8e-05,0.00311,0.142279,0.158623,0.160124,0.529608
V8_T2_T11,V8,-0.000306,-0.006131,-0.046447,0.017433,0.006518,0.120311,1.7e-05,0.00328,0.142649,0.157382,0.159017,0.534572
V8_T2_T12,V8,-0.000191,-0.006373,-0.046156,0.01386,0.006894,0.121949,7e-06,0.003533,0.141162,0.150474,0.152303,0.538154
V8_T3_T4,V8,-0.000174,-0.002447,-0.019187,0.010912,0.001208,0.042175,6e-06,0.000525,0.024308,0.03008,0.030136,0.076286
V8_T3_T5,V8,-0.000102,-0.00287,-0.023507,0.011735,0.002292,0.062763,2e-06,0.000717,0.036417,0.043093,0.043295,0.1455
V8_T3_T6,V8,-0.000114,-0.003084,-0.025817,0.011597,0.002948,0.078284,2e-06,0.000828,0.043887,0.050406,0.050741,0.209744
V8_T3_T7,V8,-9.8e-05,-0.004008,-0.030578,0.009709,0.004268,0.116271,2e-06,0.001396,0.061801,0.066371,0.067072,0.417826
V8_T3_T8,V8,-0.000221,-0.004382,-0.032731,0.007616,0.005261,0.135122,9e-06,0.001676,0.070886,0.073698,0.074763,0.548471
V8_T3_T9,V8,-0.00019,-0.005062,-0.033837,0.005476,0.005451,0.142827,7e-06,0.002231,0.076196,0.07765,0.078793,0.608067
V8_T3_T10,V8,-9.2e-05,-0.006022,-0.034779,0.002388,0.006371,0.148059,2e-06,0.003149,0.08129,0.081566,0.083129,0.651892
V8_T3_T11,V8,-8.3e-05,-0.006271,-0.035012,0.00124,0.006779,0.148829,1e-06,0.003416,0.082608,0.082682,0.084451,0.659145
V8_T3_T12,V8,8.5e-05,-0.006659,-0.035357,-0.002793,0.007243,0.147893,1e-06,0.003851,0.084613,0.084991,0.08701,0.654497
V8_T4_T5,V8,-0.000121,-0.001581,-0.013814,0.004914,0.002233,0.051547,3e-06,0.00022,0.012548,0.013718,0.01391,0.08285
V8_T4_T6,V8,-9.6e-05,-0.002033,-0.017293,0.004826,0.00294,0.073047,2e-06,0.00036,0.01968,0.020809,0.021142,0.159581
V8_T4_T7,V8,-1.4e-05,-0.003346,-0.023295,0.002525,0.004333,0.118791,0.0,0.000972,0.036029,0.036338,0.037061,0.403184
V8_T4_T8,V8,-0.000217,-0.003862,-0.026189,-2.6e-05,0.005472,0.140685,9e-06,0.001303,0.045613,0.045613,0.046766,0.560282
