feature,family,cluster_id,max_abs_corr_other,closest_partner
BB13_T2,BB13,88,1.0,BB5_T2
BB13_T3,BB13,88,1.0,BB5_T3
BB13_T4,BB13,88,1.0,BB5_T4
BB13_T5,BB13,88,1.0,BB5_T5
BB13_T6,BB13,88,1.0,BB5_T6
BB13_T7,BB13,88,1.0,BB5_T7
BB13_T8,BB13,88,1.0,BB5_T8
BB13_T9,BB13,88,1.0,BB5_T9
BB14_T1,BB14,88,0.999989,BB11_T1
BB14_T10,BB14,88,0.999984,BB5_T10
BB14_T11,BB14,88,0.999984,BB5_T11
BB14_T12,BB14,88,0.999984,BB5_T12
BB14_T2,BB14,88,0.999981,BB14_T1
BB14_T3,BB14,88,0.999979,BB5_T3
BB14_T4,BB14,88,0.999981,BB5_T4
BB14_T5,BB14,88,0.999981,BB5_T5
BB14_T6,BB14,88,0.999982,BB5_T6
BB14_T7,BB14,88,0.999983,BB5_T7
BB14_T8,BB14,88,0.999983,BB5_T8
BB14_T9,BB14,88,0.999984,BB5_T9
BB15_T1,BB15,88,0.999989,BB12_T1
BB15_T10,BB15,88,0.999984,BB5_T10
BB15_T11,BB15,88,0.999984,BB5_T11
BB15_T12,BB15,88,0.999984,BB5_T12
BB15_T2,BB15,88,0.999981,BB15_T1
BB15_T3,BB15,88,0.999979,BB5_T3
BB15_T4,BB15,88,0.999981,BB5_T4
BB15_T5,BB15,88,0.999981,BB5_T5
BB15_T6,BB15,88,0.999982,BB5_T6
BB15_T7,BB15,88,0.999983,BB5_T7
BB15_T8,BB15,88,0.999983,BB5_T8
BB15_T9,BB15,88,0.999984,BB5_T9
BB16,BB16,88,0.94756,BB17
BB17,BB17,88,0.975779,BB19
BB18,BB18,88,0.928151,BB20
BB19,BB19,88,0.989346,BB21
BB1_T1,BB1,88,0.999993,BB4_T1
BB1_T10,BB1,88,0.999604,BB1_T11
BB1_T11,BB1,88,0.999604,BB1_T10
BB1_T12,BB1,88,0.998596,BB4_T12
BB1_T2,BB1,88,0.999989,BB4_T2
BB1_T3,BB1,88,0.999977,BB4_T3
BB1_T4,BB1,88,0.999963,BB4_T4
BB1_T5,BB1,88,0.999951,BB4_T5
BB1_T6,BB1,88,0.999939,BB4_T6
BB1_T7,BB1,88,0.999871,BB4_T7
BB1_T8,BB1,88,0.99975,BB4_T8
BB1_T9,BB1,88,0.999629,BB4_T9
BB21,BB21,88,0.989346,BB19
BB26,BB26,88,0.853716,PB9_T1
BB4_T1,BB4,88,1.0,BB6_T1
BB4_T10,BB4,88,1.0,BB6_T10
BB4_T11,BB4,88,1.0,BB6_T11
BB4_T12,BB4,88,1.0,BB6_T12
BB4_T2,BB4,88,1.0,BB6_T2
BB4_T3,BB4,88,1.0,BB6_T3
BB4_T4,BB4,88,1.0,BB6_T4
BB4_T5,BB4,88,1.0,BB6_T5
BB4_T6,BB4,88,1.0,BB6_T6
BB4_T7,BB4,88,1.0,BB6_T7
BB4_T8,BB4,88,1.0,BB6_T8
BB4_T9,BB4,88,1.0,BB6_T9
BB5_T1,BB5,88,1.0,BB13_T1
BB5_T10,BB5,88,1.0,BB13_T10
BB5_T11,BB5,88,1.0,BB13_T11
BB5_T12,BB5,88,1.0,BB13_T12
BB5_T2,BB5,88,1.0,BB13_T2
BB5_T3,BB5,88,1.0,BB13_T3
BB5_T4,BB5,88,1.0,BB13_T4
BB5_T5,BB5,88,1.0,BB13_T5
BB5_T6,BB5,88,1.0,BB13_T6
BB5_T7,BB5,88,1.0,BB13_T7
BB5_T8,BB5,88,1.0,BB13_T8
BB5_T9,BB5,88,1.0,BB13_T9
BB6_T1,BB6,88,1.0,BB4_T1
BB6_T10,BB6,88,1.0,BB4_T10
BB6_T11,BB6,88,1.0,BB4_T11
BB6_T12,BB6,88,1.0,BB4_T12
BB6_T2,BB6,88,1.0,BB4_T2
BB6_T3,BB6,88,1.0,BB4_T3
BB6_T4,BB6,88,1.0,BB4_T4
BB6_T5,BB6,88,1.0,BB4_T5
BB6_T6,BB6,88,1.0,BB4_T6
BB6_T7,BB6,88,1.0,BB4_T7
BB6_T8,BB6,88,1.0,BB4_T8
BB6_T9,BB6,88,1.0,BB4_T9
BB7_T1,BB7,88,0.999992,BB11_T1
BB7_T10,BB7,88,0.998901,BB7_T11
BB7_T11,BB7,88,0.998901,BB7_T10
BB7_T12,BB7,88,0.995685,PB10_T12
BB7_T2,BB7,88,0.999987,BB11_T2
BB7_T3,BB7,88,0.999964,BB11_T3
BB7_T4,BB7,88,0.999931,BB11_T4
BB7_T5,BB7,88,0.999898,PB10_T5
BB7_T6,BB7,88,0.999863,PB10_T6
BB7_T7,BB7,88,0.999692,PB10_T7
BB7_T8,BB7,88,0.999397,PB10_T8
BB7_T9,BB7,88,0.99904,PB10_T9
BB8_T1,BB8,88,0.999992,BB12_T1
BB8_T10,BB8,88,0.998668,BB8_T11
BB8_T11,BB8,88,0.998668,BB8_T10
BB8_T12,BB8,88,0.995875,PB11_T12
BB8_T2,BB8,88,0.999987,BB12_T2
BB8_T3,BB8,88,0.999967,BB12_T3
BB8_T4,BB8,88,0.999938,BB12_T4
BB8_T5,BB8,88,0.999909,PB11_T5
BB8_T6,BB8,88,0.999878,PB11_T6
BB8_T7,BB8,88,0.999681,PB11_T7
BB8_T8,BB8,88,0.999335,PB11_T8
BB8_T9,BB8,88,0.99894,PB11_T9
PB10_T1,PB10,88,0.999985,BB11_T1
PB10_T10,PB10,88,0.999999,BB11_T10
PB10_T11,PB10,88,0.999999,BB11_T11
PB10_T12,PB10,88,0.999999,BB11_T12
PB10_T2,PB10,88,0.999989,BB11_T2
PB10_T3,PB10,88,0.999993,BB11_T3
PB10_T4,PB10,88,0.999995,BB11_T4
PB10_T5,PB10,88,0.999996,BB11_T5
PB10_T6,PB10,88,0.999996,BB11_T6
PB10_T7,PB10,88,0.999998,BB11_T7
PB10_T8,PB10,88,0.999998,BB11_T8
PB10_T9,PB10,88,0.999999,BB11_T9
PB11_T1,PB11,88,0.999985,BB12_T1
PB11_T10,PB11,88,0.999999,BB12_T10
PB11_T11,PB11,88,0.999999,BB12_T11
PB11_T12,PB11,88,0.999999,BB12_T12
PB11_T2,PB11,88,0.999989,BB12_T2
PB11_T3,PB11,88,0.999993,BB12_T3
PB11_T4,PB11,88,0.999995,BB12_T4
PB11_T5,PB11,88,0.999996,BB12_T5
PB11_T6,PB11,88,0.999996,BB12_T6
PB11_T7,PB11,88,0.999998,BB12_T7
PB11_T8,PB11,88,0.999998,BB12_T8
PB11_T9,PB11,88,0.999999,BB12_T9
PB6_T12,PB6,88,0.840735,BB26
PB9_T1,PB9,88,1.0,PB9_T2
PB9_T10,PB9,88,1.0,PB9_T1
PB9_T11,PB9,88,1.0,PB9_T1
PB9_T12,PB9,88,1.0,PB9_T1
PB9_T2,PB9,88,1.0,PB9_T1
PB9_T3,PB9,88,1.0,PB9_T1
PB9_T4,PB9,88,1.0,PB9_T1
PB9_T5,PB9,88,1.0,PB9_T1
PB9_T6,PB9,88,1.0,PB9_T1
PB9_T7,PB9,88,1.0,PB9_T1
PB9_T8,PB9,88,1.0,PB9_T1
PB9_T9,PB9,88,1.0,PB9_T1
PV2,PV2,89,0.225005,PB6_T11
PB3_T12,PB3,90,0.329007,PB3_T11
